repeat,model,cv_auroc_mean,cv_auroc_sd
7,Random Forest (defaults),0.8931173802854475,0.04740918226141363
8,Scorecard (3 bins),0.9106109777244231,0.04959361552012759
8,Argmax control (4 bins),0.9141657996531947,0.03898158310470587
8,Raw LR,0.8976680005335467,0.031634242403975554
8,XGBoost (defaults),0.8868283313325328,0.0341929123380959
8,CatBoost (defaults),0.906125650260104,0.04130139910803621
8,Random Forest (defaults),0.8969100973722822,0.041078232807561094
9,Scorecard (3 bins),0.9069783246631987,0.04871504940174539
9,Argmax control (4 bins),0.9095426837401627,0.05341627637281973
9,Raw LR,0.892954781912765,0.05728881923739717
9,XGBoost (defaults),0.8778554755235428,0.056875419478719866
9,CatBoost (defaults),0.8989427771108444,0.051168298717851925
9,Random Forest (defaults),0.8956022408963585,0.054405954639349156
10,Scorecard (3 bins),0.9095036681339203,0.038320503320654155
10,Argmax control (4 bins),0.9121280512204881,0.039035724472872936
10,Raw LR,0.8995179405095373,0.04450684504283636
10,XGBoost (defaults),0.8841691343203948,0.03894881870373748
10,CatBoost (defaults),0.9040837668400693,0.044059547476140354
10,Random Forest (defaults),0.900154328398026,0.04933952063611706
11,Scorecard (3 bins),0.9045978391356544,0.015620533010216823
11,Argmax control (4 bins),0.913861678004535,0.01502561407529223
11,Raw LR,0.8908197945845006,0.017455456202992103
11,XGBoost (defaults),0.8781995464852607,0.025467176732025587
11,CatBoost (defaults),0.8976649326397226,0.026597089685048175
11,Random Forest (defaults),0.889906429238362,0.03162929814307781
12,Scorecard (3 bins),0.9024679205015339,0.038341716223449465
12,Argmax control (4 bins),0.9069939975990395,0.03637937971456919
12,Raw LR,0.8896765372815792,0.04151408577199635
12,XGBoost (defaults),0.8812314259036949,0.03692882269481516
12,CatBoost (defaults),0.8990105375483527,0.03805380846582909
12,Random Forest (defaults),0.8972093504068294,0.030438708129392446
13,Scorecard (3 bins),0.9010543550753635,0.02610978899294854
13,Argmax control (4 bins),0.9044616513271976,0.019895581151418613
13,Raw LR,0.892205282112845,0.04193491752641292
13,XGBoost (defaults),0.8682114845938376,0.0386641823668926
13,CatBoost (defaults),0.8866531946111778,0.03260335871400395
13,Random Forest (defaults),0.8835232092837135,0.03167415392487562
14,Scorecard (3 bins),0.9050724289715886,0.029175717883275686
14,Argmax control (4 bins),0.9083005202080832,0.040043988823020675
14,Raw LR,0.8929791916766707,0.04730719653663215
14,XGBoost (defaults),0.8756813392023476,0.031428947919470866
14,CatBoost (defaults),0.8947256235827663,0.021071779033915047
14,Random Forest (defaults),0.8898102574363079,0.026766585468982435
15,Scorecard (3 bins),0.9040120048019208,0.019311668132255086
15,Argmax control (4 bins),0.910593037214886,0.02988387723685781
15,Raw LR,0.897124716553288,0.025109283783461507
15,XGBoost (defaults),0.8887868480725624,0.013928110643854649
15,CatBoost (defaults),0.900798319327731,0.01063266195584198
15,Random Forest (defaults),0.9011523275977058,0.013812850568338943
16,Scorecard (3 bins),0.9076719354408429,0.036169362373324215
16,Argmax control (4 bins),0.9120584900626918,0.03873218634561523
16,Raw LR,0.8975798319327731,0.046962784444895836
16,XGBoost (defaults),0.8760066026410565,0.052592515738483364
16,CatBoost (defaults),0.9038674136321194,0.04982179325044567
16,Random Forest (defaults),0.8955828998265973,0.05582780677748489
17,Scorecard (3 bins),0.910485994397759,0.047393782913957905
17,Argmax control (4 bins),0.9099824596505268,0.04689334977167755
17,Raw LR,0.8910971055088701,0.03437406009346645
17,XGBoost (defaults),0.8776237161531277,0.0520259519214534
17,CatBoost (defaults),0.8997308256635987,0.04761171371619606
17,Random Forest (defaults),0.8867003468053888,0.042221258350154084
18,Scorecard (3 bins),0.9059315059357076,0.04879953229389634
18,Argmax control (4 bins),0.9093992930505536,0.04332196910584481
18,Raw LR,0.8897420301453914,0.05077537222023888
18,XGBoost (defaults),0.8912883820194744,0.05338251392997469
18,CatBoost (defaults),0.8965212751767375,0.047610229164814374
18,Random Forest (defaults),0.8929300386821396,0.05375660869860458
19,Scorecard (3 bins),0.903655862344938,0.021002796954866954
19,Argmax control (4 bins),0.9089807923169267,0.020021295744260616
19,Raw LR,0.8938384687208216,0.02317133323016702
19,XGBoost (defaults),0.8817560357476324,0.03719983238537618
19,CatBoost (defaults),0.8955302120848339,0.03247173983573566
19,Random Forest (defaults),0.8942036147792451,0.023171517386428107
