n_train,shift,noise,drift,Model,Test AUROC mean,Test AUROC SD
800,0.5,0.5,0.0,Random Forest,0.8992,0.0077
800,0.5,0.5,1.0,Scorecard,0.8666,0.0085
800,0.5,0.5,1.0,Raw LR,0.8283,0.0318
800,0.5,0.5,1.0,XGBoost,0.8335,0.0142
800,0.5,0.5,1.0,CatBoost,0.8544,0.0098
800,0.5,0.5,1.0,Random Forest,0.8401,0.0131
800,1.0,0.0,0.0,Scorecard,0.8617,0.0109
800,1.0,0.0,0.0,Raw LR,0.7017,0.0309
800,1.0,0.0,0.0,XGBoost,0.895,0.0147
800,1.0,0.0,0.0,CatBoost,0.9069,0.0133
800,1.0,0.0,0.0,Random Forest,0.9017,0.0107
800,1.0,0.0,1.0,Scorecard,0.8649,0.008
800,1.0,0.0,1.0,Raw LR,0.8059,0.0316
800,1.0,0.0,1.0,XGBoost,0.8293,0.0166
800,1.0,0.0,1.0,CatBoost,0.851,0.0138
800,1.0,0.0,1.0,Random Forest,0.8375,0.0133
800,1.0,0.5,0.0,Scorecard,0.8561,0.0083
800,1.0,0.5,0.0,Raw LR,0.7155,0.0209
800,1.0,0.5,0.0,XGBoost,0.8868,0.0126
800,1.0,0.5,0.0,CatBoost,0.8968,0.0127
800,1.0,0.5,0.0,Random Forest,0.8954,0.0142
800,1.0,0.5,1.0,Scorecard,0.8791,0.008
800,1.0,0.5,1.0,Raw LR,0.8165,0.0251
800,1.0,0.5,1.0,XGBoost,0.8387,0.0191
800,1.0,0.5,1.0,CatBoost,0.8612,0.0157
800,1.0,0.5,1.0,Random Forest,0.8475,0.0142
