iter	Passed	Remaining
198	496	750
199	498	747
200	500	744
201	502	741
202	505	738
203	507	735
204	509	732
205	511	729
206	512	725
207	514	722
208	516	719
209	519	716
210	521	714
211	524	711
212	526	709
213	528	705
214	530	702
215	532	699
216	534	696
217	536	693
218	538	690
219	540	688
220	543	685
221	545	682
222	547	679
223	549	676
224	551	673
225	553	671
226	555	668
227	558	666
228	560	663
229	562	660
230	564	656
231	566	653
232	566	649
233	568	646
234	571	644
235	573	641
236	575	638
237	577	635
238	579	632
239	581	630
240	584	627
241	586	624
242	588	622
243	590	619
244	592	616
245	594	613
246	596	610
247	598	608
248	601	605
249	603	603
250	605	600
251	607	597
252	609	595
253	611	592
254	613	589
255	615	586
256	617	584
257	620	581
258	622	579
259	624	576
260	626	573
261	628	570
262	630	568
263	632	565
264	634	563
265	637	560
266	639	557
267	641	555
268	643	552
269	645	549
270	647	547
271	649	544
272	652	542
273	654	539
274	656	537
275	658	534
276	660	532
277	663	529
278	665	526
279	667	524
280	669	521
281	671	519
282	673	516
283	675	514
284	678	511
285	680	509
286	682	506
287	684	503
288	686	501
289	689	499
290	691	496
291	693	494
292	695	491
293	697	489
294	699	486
295	701	483
296	704	481
297	706	478
298	708	476
299	710	473
300	713	471
301	715	468
302	717	466
303	719	463
304	721	461
305	723	458
306	725	455
307	727	453
308	729	450
309	732	448
310	734	446
311	736	443
312	738	441
313	741	439
314	743	436
315	745	434
316	747	431
317	749	429
318	752	426
319	754	424
320	756	421
321	758	419
322	760	416
323	762	414
324	764	411
325	767	409
326	769	407
327	772	404
328	774	402
329	776	399
330	778	397
331	780	394
332	782	392
333	784	389
334	786	387
335	788	385
336	790	382
337	792	380
338	794	377
339	797	375
340	799	372
341	801	370
342	803	367
343	806	365
344	808	363
345	810	360
346	812	358
347	814	355
348	816	353
349	818	350
350	820	348
351	823	346
352	825	343
353	832	343
354	835	341
355	838	339
356	840	336
357	843	334
358	845	332
359	847	329
360	850	327
361	852	325
362	855	322
363	857	320
364	860	318
365	863	315
366	865	313
367	868	311
368	870	308
369	873	306
370	875	304
371	877	301
372	880	299
373	882	297
374	884	294
375	886	292
376	889	290
377	891	287
378	893	285
379	896	282
380	898	280
381	900	278
382	902	275
383	904	273
384	906	270
385	908	268
386	910	265
387	912	263
388	914	260
389	916	258
390	918	256
391	920	253
392	923	251
393	925	248
394	927	246
395	929	244
396	931	241
397	933	239
398	934	236
399	935	233
400	946	233
401	949	231
402	951	228
403	954	226
404	956	224
405	959	222
406	961	219
407	963	217
408	965	214
409	968	212
410	971	210
411	973	207
412	975	205
413	977	203
414	980	200
415	982	198
416	984	196
417	987	193
418	989	191
419	991	188
420	993	186
421	995	184
422	997	181
423	999	179
424	1000	176
425	1001	174
426	1004	171
427	1005	169
428	1007	166
429	1009	164
430	1010	161
431	1013	159
432	1014	156
433	1017	154
434	1019	152
435	1021	149
436	1023	147
437	1025	145
438	1027	142
439	1029	140
440	1030	137
441	1032	135
442	1034	133
443	1037	130
444	1039	128
445	1041	126
446	1043	123
447	1045	121
448	1047	118
449	1049	116
450	1051	114
451	1053	111
452	1055	109
453	1058	107
454	1060	104
455	1062	102
456	1064	100
457	1065	97
458	1067	95
459	1069	93
460	1072	90
461	1072	88
462	1074	85
463	1076	83
464	1078	81
465	1080	78
466	1082	76
467	1084	74
468	1086	71
469	1089	69
470	1091	67
471	1093	64
472	1095	62
473	1098	60
474	1100	57
475	1102	55
476	1104	53
477	1106	50
478	1108	48
479	1110	46
480	1113	43
481	1115	41
482	1117	39
483	1118	36
484	1119	34
485	1121	32
486	1123	29
487	1125	27
488	1127	25
489	1129	23
490	1131	20
491	1133	18
492	1135	16
493	1137	13
494	1139	11
495	1142	9
496	1144	6
497	1146	4
